source,target,weight,int
SW-JTPM,BMDC-SW-EXT-OUT.bankmayapada.local,1,Gig 1/0/4
BMDC-SW-EC-DMZ,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Fas 0
BMDC-ASSW-L1M1-KANAN,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/23
BMDC-ASSW-L1M1-KANAN,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/24
MYPD-SGO,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
MYPD-SGO,BMDC-SW-EXT-OUT.bankmayapada.local,1,Gig 0/1/0
MYPD-SGO,BMDC-P2P-01.bankmayapada.local,1,Gig 0/0/1
CORE-MT2,SW-MT2-SVR.bankmayapada.local,1,Gig 1/0/3
CORE-MT2,SW-MT2-HRD.bankmayapada.local,1,Gig 1/1/4
CORE-MT2,SW-MT2-AUDIT1.bankmayapada.local,1,Gig 1/1/2
CORE-MT2,SW-MT2-AUDIT2.bankmayapada.local,1,Gig 1/1/3
CORE-MT2,SW-MT2-LT9-02.bankmayapada.local,1,Gig 1/0/5
CORE-MT2,BMDC-P2P-01.bankmayapada.local,1,Gig 1/0/1
CORE-MT2,BMDC-P2P-02.bankmayapada.local,1,Gig 1/0/2
CORE-MT2,MT2-LT15-04.bankmayapada.local,1,Gig 1/0/15
CORE-MT2,MT2-LT15-03.bankmayapada.local,1,Gig 1/0/14
CORE-MT2,SW-MT2-LT9.bankmayapada.local,1,Gig 1/0/4
CORE-MT2,SW-MT2-IT1.bankmayapada.local,1,Gig 1/0/11
CORE-MT2,SW-MT2-IT2.bankmayapada.local,1,Gig 1/0/13
CORE-MT2,SW-MT2-21-04.bankmayapada.local,1,Gig 1/1/1
CORE-MT2,MT2-LT10-SW-01.bankmayapada.local,1,Gig 1/0/16
CORE-MT2,MT2-LT10-SW-02.bankmayapada.local,1,Gig 1/0/17
CORE-MT2,MT2-LT10-SW-03.bankmayapada.local,1,Gig 1/0/18
CORE-MT2,MT2-LT10-SW-04.bankmayapada.local,1,Gig 1/0/19
CORE-MT2,MT2-LT10-SW-05.bankmayapada.local,1,Gig 1/0/20
CORE-MT2,MT2-LT10-SW-06.bankmayapada.local,1,Gig 1/0/22
BMDC-SW-EXT-DMZ,BMDC-SW-DATACENTER.bankmayapada.local,1,Fas 0
BMDC-ASSW-L1M1-KIRI,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/23
BMDC-ASSW-L1M1-KIRI,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/24
MT2-LT10-SW-05,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
BMDC-ACCSVR-N9K-RAKC1,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,mgmt0
BMDC-ACCSVR-N9K-RAKC1,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),1,Eth1/49
BMDC-ACCSVR-N9K-RAKC1,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),1,Eth1/50
SW-MT2-AUDIT2,SW-MT2-HRD.bankmayapada.local,1,Gig 1/0/47
SW-MT2-AUDIT2,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
MT2-LT10-SW-04,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
BMDC-RTRWAN-01,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
BMDC-RTRWAN-01,BMDC-EGSW-WAN.bankmayapada.local,1,Gig 0/0/0
MT2-LT15-04,MT2-LT16-02.bankmayapada.local,1,Gig 1/0/37
MT2-LT15-04,SW-MT2-16-03.bankmayapada.local,1,Gig 1/0/38
MT2-LT15-04,SW-MT2-16-01.bankmayapada.local,1,Gig 1/0/36
MT2-LT15-04,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
BMDC-EC-SW-DMZIB-T1,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Gig 1/0/46
BMDC-EC-IC-IB-OUT,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Fas 0
CCPL-SW-01,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/48
CCPL-SW-01,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/47
SW-MT2-16-03,MT2-LT15-04.bankmayapada.local,1,Gig 1/0/47
MT2-LT10-SW-02,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
CCPL-CORE-SW,CCPL-RTR.bankmayapada.local,1,Gig 1/0/1
CCPL-CORE-SW,CCPL-SW-03.bankmayapada.local,1,Gig 1/0/17
CCPL-CORE-SW,CCPL-SW-03.bankmayapada.local,1,Gig 1/0/18
CCPL-CORE-SW,CCPL-SW-02.bankmayapada.local,1,Gig 1/0/16
CCPL-CORE-SW,CCPL-SW-02.bankmayapada.local,1,Gig 1/0/15
CCPL-CORE-SW,CCPL-SW-01.bankmayapada.local,1,Gig 1/0/14
CCPL-CORE-SW,CCPL-SW-01.bankmayapada.local,1,Gig 1/0/13
CCPL-CORE-SW,CCPL-SW-05.bankmayapada.local,1,Gig 1/0/21
CCPL-CORE-SW,CCPL-SW-05.bankmayapada.local,1,Gig 1/0/22
CCPL-CORE-SW,CCPL-SW-04.bankmayapada.local,1,Gig 1/0/19
MYPD-STARLINK,BMDC-MGMT-A3.bankmayapada.local,1,Fas 0/1/1
MYPD-STARLINK,BMDC-SW-EXT-OUT.bankmayapada.local,1,Fas 0/1/0
BMDC-EC-SW-IB-CP,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Gig 1/0/41
MYPD-FINNET,BMDC-SW-EXT-OUT.bankmayapada.local,1,Gig 0/1/0
BMDC-EC-RTR-01,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
SW-MT2-HRD,SW-MT2-AUDIT2.bankmayapada.local,1,Gig 1/0/47
SW-MT2-HRD,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
SW-MT2-IT2,MikroTik,1,Gig 1/0/44
SW-MT2-IT2,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
SW-RAKC4-15,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),1,Gig 1/0/48
SW-RAKC4-15,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),1,Gig 1/0/47
SW-RAKC4-15,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Fas 0
BMDC-EGSW-EXT-01,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),1,Gig 1/0/24
BMDC-EGSW-EXT-01,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),1,Gig 1/0/23
BMDC-EGSW-EXT-01,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Gig 0/0
BMDRC-RTR-EC-01,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,1,Gig 0
SW-MT2-21-04,CORE-MT2.bankmayapada.local,1,Gig 1/0/47
BMDC-SW-DATACENTER,BMDC-SW-ISP-EC.bankmayapada.local,1,Gig 1/0/12
BMDC-SW-DATACENTER,BMDC-SW-IC-DMZ.bankmayapada.local,1,Gig 1/0/23
BMDC-SW-DATACENTER,BMDC-DEV-DMZ-SW-C4.bankmayapada.local,1,Gig 1/0/2
BMDC-SW-DATACENTER,BMDC-F5-ISP-OUT.bankmayapada.local,1,Gig 1/0/35
BMDC-SW-DATACENTER,BMDC-SW-LT2-NEW.bankmayapada.local,1,Gig 1/0/45
BMDC-SW-DATACENTER,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/31
BMDC-SW-DATACENTER,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/47
BMDC-SW-DATACENTER,BMDC-DIST-MT1.bankmayapada.local,1,Gig 1/0/48
BMDC-SW-DATACENTER,BMDC-RTR-ISP2.bankmayapada.local,1,Gig 1/0/6
BMDC-SW-DATACENTER,BMDC-SW-EXT-DMZ.bankmayapada.local,1,Gig 1/0/30
BMDC-SW-DATACENTER,BMDC-DEV-RAKC1,1,Gig 1/0/34
SW-MT2-IT1,CORE-MT2.bankmayapada.local,1,Gig 1/0/47
SW-MT2-LT9,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
BMDC-SW-RAK-D1,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),1,Gig 1/0/47
BMDC-SW-RAK-D1,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Fas 0
BMDC-EGSW-EC-01,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),1,Gig 2/0/24
BMDC-EGSW-EC-01,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),1,Gig 1/0/24
BMDC-EGSW-EC-01,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),1,Gig 2/0/23
BMDC-EGSW-EC-01,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),1,Gig 1/0/23
BMDC-EGSW-EC-01,BMDC-SW-MGMT-RAK-B1.bankmayapada.local,1,Gig 0/0
BMDC-P2P-02,BMDC-MGMT-A3.bankmayapada.local,1,Gig 0
BMDC-P2P-02,BMDC-EGSW-WAN.bankmayapada.local,1,Gig 0/0/0
BMDC-P2P-02,CORE-MT2.bankmayapada.local,1,Gig 0/0/1
MT2-LT10-SW-03,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
BMDC-SW-ISP-EC,BMDC-SW-DATACENTER.bankmayapada.local,1,Fas 0
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV.bankmayapada.local,1,Gig 1/0/30
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV.bankmayapada.local,1,Gig 1/0/29
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV.bankmayapada.local,1,Gig 1/0/28
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV.bankmayapada.local,1,Gig 1/0/27
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV.bankmayapada.local,1,Gig 1/0/26
BMDC-DEV-DMZ-SW-C4,BMDC-RAK-D1-DEV.bankmayapada.local,1,Gig 1/0/25
BMDC-DEV-DMZ-SW-C4,BMDC-DEV-RAKC1,1,Gig 1/0/2
BMDC-DEV-DMZ-SW-C4,BMDC-DEV-RAKC1,1,Gig 1/0/1
BMDC-DEV-DMZ-SW-C4,BMDC-SW-DATACENTER.bankmayapada.local,1,Gig 1/0/44
CCPL-SW-03,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/47
CCPL-SW-03,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/48
MT2-LT10-SW-01,CORE-MT2.bankmayapada.local,1,Gig 1/0/48
CCPL-SW-02,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/48
CCPL-SW-02,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/47
CCPL-SW-04,CCPL-CORE-SW.bankmayapada.local,1,Gig 1/0/48
BMDC-SW-IC-DMZ,BMDC-SW-DATACENTER.bankmayapada.local,1,Fas 0
BMDC-DIST-MT1,BMDC-MGMT-A3.bankmayapada.local,1,Gig 1/0/9
BMDC-DIST-MT1,BMDC-CZ-DMZ-01.bankmayapada.local,1,Gig 1/0/5
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KANAN.bankmayapada.local,1,Gig 1/0/3
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KANAN.bankmayapada.local,1,Gig 1/0/4
BMDC-DIST-MT1,BMDC-ASSW-GFM1-01.bankmayapada.local,1,Gig 1/0/17
BMDC-DIST-MT1,BMDC-ASSW-GFM1-01.bankmayapada.local,1,Gig 1/0/14
BMDC-DIST-MT1,BMDC-ASSW-GFM1-01.bankmayapada.local,1,Gig 1/0/13
BMDC-DIST-MT1,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),1,Ten 1/1/4
BMDC-DIST-MT1,BMDC-SW-LT2-NEW.bankmayapada.local,1,Gig 1/0/2
BMDC-DIST-MT1,BMDC-SW-LT2-NEW.bankmayapada.local,1,Gig 1/0/10
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KIRI.bankmayapada.local,1,Gig 1/0/15
BMDC-DIST-MT1,BMDC-ASSW-L1M1-KIRI.bankmayapada.local,1,Gig 1/0/16
BMDC-DIST-MT1,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),1,Ten 1/1/3
BMDC-DIST-MT1,BMDC-ASSW-L3M1-01.bankmayapada.local,1,Gig 1/0/12
BMDC-DIST-MT1,BMDC-ASSW-L3M1-01.bankmayapada.local,1,Gig 1/0/11
