No,Local Hostname,Local Interface,Local Platform,Remote Hostname,Remote Interface,Remote Platform,Capability
10,BMDC-CORE-02,Eth1/5,,BMDC-OTV-02.bankmayapada.local(FXS2136Q11W),Eth1/41,N77-C7706,R S s
1,BMDC-ACCSVR-N9K-RAKC1,Eth1/50,,BMDC-AGGSVR-01.bankmayapada.local(FXS1943Q3EM),Eth1/21,N77-C7706,R S I s
2,BMDC-ACCSVR-N9K-RAKD1,Eth1/50,,BMDC-AGGSVR-02.bankmayapada.local(FXS2136Q11W),Eth1/31,N77-C7706,R S I s
10,BMDC-CORE-02,Eth1/6,,BMDC-OTV-02.bankmayapada.local(FXS2136Q11W),Eth1/42,N77-C7706,R S s
10,BMDC-CORE-02,Eth1/7,,BMDC-EGSW-DEV-01.bankmayapada.local,Gig0/2,WS-C3560-24PS,R S I
9,BMDC-CORE-01,Eth1/8,,BMDC-EGSW-EC-01.bankmayapada.local,Gig2/0/23,WS-C3850-24T,R S I
10,BMDC-CORE-02,Eth1/8,,BMDRC-CORE01(JAF1801ARAG),Eth4/1,N7K-C7009,R S s
9,BMDC-CORE-01,Eth1/9,,BMDC-EGSW-EC-01.bankmayapada.local,Gig1/0/23,WS-C3850-24T,R S I
10,BMDC-CORE-02,Eth1/9,,BMDC-CORE-01.bankmayapada.local(FXS1943Q3EM),Eth1/13,N77-C7706,R S I s
3,BMDC-AGGSVR-01,Eth101/1/1,,SW-TORBIFDC-01.bankmayapada.local,Gig1/0/23,C1000-24T-4X-,S I
4,BMDC-AGGSVR-02,Eth101/1/1,,SW-TORBIFDC-01.bankmayapada.local,Gig1/0/23,C1000-24T-4X-,S I
3,BMDC-AGGSVR-01,Eth101/1/2,,SW-TORBIFDC-01.bankmayapada.local,Gig1/0/24,C1000-24T-4X-,S I
4,BMDC-AGGSVR-02,Eth101/1/2,,SW-TORBIFDC-01.bankmayapada.local,Gig1/0/24,C1000-24T-4X-,S I
3,BMDC-AGGSVR-01,Eth101/1/3,,SW-TORBIFDC-02.bankmayapada.local,Gig1/0/23,C1000-24T-4X-,S I
4,BMDC-AGGSVR-02,Eth101/1/3,,SW-TORBIFDC-02.bankmayapada.local,Gig1/0/23,C1000-24T-4X-,S I
3,BMDC-AGGSVR-01,Eth101/1/4,,SW-TORBIFDC-02.bankmayapada.local,Gig1/0/24,C1000-24T-4X-,S I
4,BMDC-AGGSVR-02,Eth101/1/4,,SW-TORBIFDC-02.bankmayapada.local,Gig1/0/24,C1000-24T-4X-,S I
3,BMDC-AGGSVR-01,Eth104/1/5,,a46c2aebfda4,eth0,SNS-3415-K9,H
4,BMDC-AGGSVR-02,Eth104/1/5,,a46c2aebfda4,eth0,SNS-3415-K9,H
46,BMDRC-CORE01,Eth3/10,,BMDRC-EDGE01.bankmayapada.local,Gig1/0/23,WS-C3850-24T,R S I
46,BMDRC-CORE01,Eth3/2,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth3/25,N7K-C7009,R S s
49,BMDRC-OTV01,Eth3/21,,BMDRC-CORE01(JAF1801ARAG),Eth3/8,N7K-C7009,R S s
49,BMDRC-OTV01,Eth3/22,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth3/28,N7K-C7009,R S I s
45,BMDRC-AGGRSVR01,Eth3/25,,BMDRC-CORE01(JAF1801ARAG),Eth3/2,N7K-C7009,R S s
45,BMDRC-AGGRSVR01,Eth3/26,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/49,WS-C2960S-48T,S I
45,BMDRC-AGGRSVR01,Eth3/27,,BMDRC-ACCSVR02-RAK-D06.bankmayapada.loca,Gig1/0/47,WS-C2960X-48T,S I
45,BMDRC-AGGRSVR01,Eth3/28,,BMDRC-OTV01.bankmayapada.local(JAF1801ARAG),Eth3/22,N7K-C7009,R S I s
45,BMDRC-AGGRSVR01,Eth3/29,,BMDRC-ACCSVR-RAKC5.bankmayapada.local,Gig1/0/48,WS-C2960X-48T,S I
45,BMDRC-AGGRSVR01,Eth3/30,,BMDRC-ACCSVR04-RAKC6.bankmayapada.local,Gig1/0/47,WS-C2960X-48T,S I
46,BMDRC-CORE01,Eth3/8,,BMDRC-OTV01.bankmayapada.local(JAF1801ARAG),Eth3/21,N7K-C7009,R S s
46,BMDRC-CORE01,Eth4/1,,BMDC-CORE-02.bankmayapada.local(FXS2136Q11W),Eth1/8,N77-C7706,R S s
46,BMDRC-CORE01,Eth4/10,,BMDRC-EDGE01.bankmayapada.local,Gig1/0/24,WS-C3850-24T,R S I
46,BMDRC-CORE01,Eth4/2,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth4/25,N7K-C7009,R S s
49,BMDRC-OTV01,Eth4/21,,BMDRC-CORE01(JAF1801ARAG),Eth4/8,N7K-C7009,R S s
49,BMDRC-OTV01,Eth4/22,,BMDRC-AGGRSVR01.bankmayapada.local(JAF1801ARAG),Eth4/28,N7K-C7009,R S I s
45,BMDRC-AGGRSVR01,Eth4/25,,BMDRC-CORE01(JAF1801ARAG),Eth4/2,N7K-C7009,R S s
45,BMDRC-AGGRSVR01,Eth4/26,,BMDRC-ACCSVR01-RAK-D07.bankmayapada.loca,Gig1/0/50,WS-C2960S-48T,S I
