source,target,weight,int
BMDC-RAK-D1-DEV,BMDC-SW-MGMT-RAK-B1,1,Fas 0
BMDC-SW-EC-DMZ,BMDC-SW-MGMT-RAK-B1,1,Fas 0
BMDC-SW-EXT-DMZ,BMDC-SW-DATACENTER,1,Fas 0
BMDC-SW-EXT-OUT,BMDC-MGMT-A3,1,Fas 0
BMDC-SW-IC-DMZ,BMDC-SW-DATACENTER,1,Fas 0
BMDC-SW-ISP-EC,BMDC-SW-DATACENTER,1,Fas 0
BMDC-SW-RAK-D1,BMDC-SW-MGMT-RAK-B1,1,Fas 0
BMDRC-ACCSVR-RAKC5,BMDRC-ACCSVR01-RAK-D07,1,Fas 0
BMDRC-ACCSVR02-RAK-D06,BMDRC-ACCSVR01-RAK-D07,1,Fas 0
BMDRC-ACCSVR04-RAKC6,BMDRC-ACCSVR01-RAK-D07,1,Fas 0
BMDRC-EXT-INT-RAK-D7,BMDRC-ACCSVR01-RAK-D07,1,Fas 0
BMDRC-SW-EC-DMZ-RAKC6,BMDRC-ACCSVR01-RAK-D07,1,Fas 0
BMDRC-SW-EC-OUT,BMDRC-ACCSVR01-RAK-D07,1,Fas 0
SW-JTPM,BMDC-MGMT-A3,1,Fas 0
SW-RAKC4-15,BMDC-SW-MGMT-RAK-B1,1,Fas 0
MYPD-STARLINK,BMDC-SW-EXT-OUT,1,Fas 0/1/0
BMDRC-RTRH2H01,BMDRC-EXT-INT-RAK-D7,1,Fas 0/1/1
MYPD-STARLINK,BMDC-MGMT-A3,1,Fas 0/1/1
BMDRC-RTRH2H01,BMDRC-EXT-INT-RAK-D7,1,Fas 0/2/0
BMDRC-RTRH2H01,DRC-MAYAPADA-SD-LA,1,Fas 0/3/0
BMDRC-RTRH2H01,DRC-MAYAPADA-SD-TLK,1,Fas 0/3/1
BMDC-EC-RTR-01,BMDC-MGMT-A3,1,Gig 0
BMDC-EC-RTR-IB,BMDC-MGMT-A3,1,Gig 0
BMDC-P2P-01,BMDC-MGMT-A3,1,Gig 0
BMDC-P2P-02,BMDC-MGMT-A3,1,Gig 0
BMDC-RTRWAN-01,BMDC-MGMT-A3,1,Gig 0
BMDC-RTRWAN-03,BMDC-MGMT-A3,1,Gig 0
BMDRC-RTR-EC-01,BMDRC-ACCSVR01-RAK-D07,1,Gig 0
BMDRC-RTRWAN01,BMDRC-ACCSVR01-RAK-D07,1,Gig 0
MYPD-BH-EXT-DIMO,BMDC-MGMT-A3,1,Gig 0
MYPD-SGO,BMDC-MGMT-A3,1,Gig 0
MYPD-TIFHONE,BMDC-MGMT-A3,1,Gig 0
BMDC-DIST-MT1,BMDC-SW-DATACENTER,1,Gig 0/0
BMDC-EGSW-EC-01,BMDC-SW-MGMT-RAK-B1,1,Gig 0/0
BMDC-EGSW-EXT-01,BMDC-SW-MGMT-RAK-B1,1,Gig 0/0
BMDC-EGSW-IC-01,BMDC-SW-MGMT-RAK-B1,1,Gig 0/0
BMDC-EGSW-WAN,BMDC-SW-MGMT-RAK-B1,1,Gig 0/0
BMDRC-EDGE01,BMDRC-ACCSVR01-RAK-D07,1,Gig 0/0
BMDRC-RTRH2H01,BMDRC-EDGE01,1,Gig 0/0
BMDC-P2P-01,BMDC-EGSW-WAN,1,Gig 0/0/0
BMDC-P2P-02,BMDC-EGSW-WAN,1,Gig 0/0/0
BMDC-RTRWAN-01,BMDC-EGSW-WAN,1,Gig 0/0/0
BMDC-RTRWAN-03,BMDC-EGSW-WAN,1,Gig 0/0/0
BMDRC-RTRWAN01,BMDRC-EDGE01,1,Gig 0/0/0
BMDC-P2P-01,CORE-MT2,1,Gig 0/0/1
BMDC-P2P-02,CORE-MT2,1,Gig 0/0/1
BMDRC-RTRWAN01,BMDRC-EDGE01,1,Gig 0/0/1
MYPD-SGO,BMDC-P2P-01,1,Gig 0/0/1
BMDC-P2P-01,MikroTik,1,Gig 0/0/2
BMDC-P2P-01,CCPL-RTR,1,Gig 0/0/2
BMDC-P2P-01,MYPD-SGO,1,Gig 0/0/3
BMDRC-RTRH2H01,BMDRC-ACCSVR01-RAK-D07,1,Gig 0/1
CCPL-RTR,CCPL-CORE-SW,1,Gig 0/1/0
MYPD-ARTAJASA,BMDC-SW-EXT-OUT,1,Gig 0/1/0
MYPD-FINNET,BMDC-SW-EXT-OUT,1,Gig 0/1/0
MYPD-SGO,BMDC-SW-EXT-OUT,1,Gig 0/1/0
MYPD-TIFHONE,BMDC-SW-EXT-OUT,1,Gig 0/1/0
MYPD-BH-EXT-DIMO,BMDC-SW-EXT-OUT,1,Gig 0/1/1
BMDRC-RTRH2H01,BMDRC-EDGE01,1,Gig 0/2
BMDC-DEV-DMZ-SW-C4,BMDC-DEV-RAKC1,1,Gig 1/0/1
BMDC-EGSW-WAN,BMDC-RTRWAN-01,1,Gig 1/0/1
BMDC-MGMT-A3,BMDC-RTRWAN-01,1,Gig 1/0/1
BMDC-RAK-D1-DEV,BMDC-DEV-DMZ-SW-C4,1,Gig 1/0/1
BMDRC-EXT-INT-RAK-D7,BANKMAYA-RT,1,Gig 1/0/1
CCPL-CORE-SW,CCPL-RTR,1,Gig 1/0/1
CORE-MT2,BMDC-P2P-01,1,Gig 1/0/1
BMDC-DIST-MT1,BMDC-SW-LT2-NEW,1,Gig 1/0/10
BMDC-SW-EXT-OUT,BMDC-DJP-B,1,Gig 1/0/10
BMDC-DIST-MT1,BMDC-ASSW-L3M1-01,1,Gig 1/0/11
BMDC-MGMT-A3,MYPD-BH-EXT-DIMO,1,Gig 1/0/11
BMDC-SW-EXT-OUT,ITBACKUP-ALTERRA,1,Gig 1/0/11
BMDRC-EDGE01,BMDRC-RTRWAN01,1,Gig 1/0/11
CORE-MT2,SW-MT2-IT1,1,Gig 1/0/11
BMDC-DIST-MT1,BMDC-ASSW-L3M1-01,1,Gig 1/0/12
BMDC-MGMT-A3,BMDC-SW-EXT-OUT,1,Gig 1/0/12
BMDC-SW-DATACENTER,BMDC-SW-ISP-EC,1,Gig 1/0/12
BMDRC-EDGE01,BMDRC-RTRWAN01,1,Gig 1/0/12
BMDC-DIST-MT1,BMDC-ASSW-GFM1-01,1,Gig 1/0/13
BMDC-MGMT-A3,MYPD-DUKCAPIL,1,Gig 1/0/13
BMDC-SW-EXT-OUT,RO2-AWS-TO-NTT,1,Gig 1/0/13
CCPL-CORE-SW,CCPL-SW-01,1,Gig 1/0/13
CORE-MT2,SW-MT2-IT2,1,Gig 1/0/13
BMDC-DIST-MT1,BMDC-ASSW-GFM1-01,1,Gig 1/0/14
BMDC-MGMT-A3,MYPD-STARLINK,1,Gig 1/0/14
BMDC-SW-EXT-OUT,RO1-AWS-TO-DCI,1,Gig 1/0/14
BMDC-SW-MGMT-RAK-B1,BMDC-NX-02-Admin,1,Gig 1/0/14
BMDC-SW-MGMT-RAK-B1,BMDC-CORE-02,1,Gig 1/0/14
BMDC-SW-MGMT-RAK-B1,BMDC-AGGSVR-02,1,Gig 1/0/14
BMDC-SW-MGMT-RAK-B1,BMDC-OTV-02,1,Gig 1/0/14
CCPL-CORE-SW,CCPL-SW-01,1,Gig 1/0/14
CORE-MT2,MT2-LT15-03,1,Gig 1/0/14
